line #,episode #,episode,name,line,arc #,arc
19.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,"Oh, you haven't heard of Scanlan Shorthalt? Well, gird your loins, ladies, because he has his eye on you. A talented musician, master of disguise, and dashingly handsome in his own mind, Scanlan sings songs almost as much as he sings his own praises. Born a poor gnome, Scanlan used his endless charm and soaring tenor voice to croon for coin and support his single mother. One day, he was discovered by a half-orc promoter, and joined Dr. Dranzel's Spectacular Traveling Troupe where he learned the ways of the world, and honed his skills as a bard extraordinaire. A loner much of his life, Scanlan has never quite come to terms with the violent death of his mother at the hands of a goblin invasion. While his years on the road provided many, shall we say, educational experiences with the opposite sex, deep down Scanlan yearns for the one thing he's never known: the true love of a fellow gnome. Still, Scanlan considers himself a lover first, performer second, and fighter distant third. On the battlefield, he'll support his allies, but rarely draws blood, unless it's to protect fellow gnome, Pike. Count on Scanlan for a hearty laugh, a rollicking song, and a twinkle in his eye that melts hearts and makes the females swoon. →",A1,Arc 1: Kraghammer and Vasselheim
20.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,"Greetings and salutations, I am Tiberius Stormwind. I hail from a town called Ty'rex, located in the heart of Draconia, born from a politically respected family. At the age of 15, I succeeded in passing the Sorcerer's Rite, showing prodigy-like control of my magic. The judges and the Draconian high council were amazed at how powerful my spells were for how long I had been training. At 20 years old, I was the youngest appointed member of the magic guild in Draconian history. For the next few years, I almost went mad from the malaise of being a guild member, as it's rather boring. However, one day I happened upon a chamber, unused for quite some time. In the room were stacks of books and maps of the surrounding cities and areas around the known world. For months, I would frequent the chamber, and learned of artifacts from legend. After a long period of research, I made a list of artifacts that caught my eye. I brought these findings to the high council and was told that all of the information in the chamber I had stumbled upon was either believed to be fiction, or unsolvable mysteries, and hence were lost forever. I found those answers to be unacceptable. A year later, I devised a ruse and managed to convince the city council to lend support in me leaving Draconia on a mission of peace and diplomacy for the surrounding kingdoms. →",A1,Arc 1: Kraghammer and Vasselheim
21.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,"Going from town to town and making friends and allies in and for the name of Draconia. Being a red dragonborn, I had quite the task on my hands in that respect, but it was exactly what I needed so I could explore the world and find these artifacts, as I felt the truth was out there. Some may describe me as buffoonish, but I say poppycock to all that. I am much sharper than most give me credit for. I just don't pay attention to things sometimes. I've also been known to be rather cunning, loyal, happy-go-lucky, and well, dangerous. I can't help but show my true scales every now and then. But overall, I think I'm quite friendly for a dragonborn. →",A1,Arc 1: Kraghammer and Vasselheim
22.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LIAM,"Never entirely welcome in the company of elves or men, Vax'ildan learned at a young age to skip past formality, preferring instead to invite himself in your door. Along with twin sister Vex'ahlia, Vax was born by a chance encounter between elven royalty and human peasantry. Raised by their mother in their early years, the twins were eventually sent off to their father in the elven capital of Syngorn. But their cool reception among the elves there never warmed, and their time in the capital didn't last. The siblings stole away one autumn night and set out on the open road. After a few years of wandering, they eventually decided to return to their mother, and journeyed back to the lands of their youth. But instead of finding their childhood home, they returned to a pile of rubble. Their mother was gone, their home burned to ash. Pressing the townspeople for answers, they learned of the day the dragon came. With their ties all severed, Vax'ildan and his sister set out to find their fortune together in Tal'Dorei. An outsider since birth, Vax quickly learned to solve life's challenges in his own particular way, often by sidestepping them entirely. And when his knack for circumventing adversity isn't enough, the way of blades the elves schooled him in more than makes up the difference. →",A1,Arc 1: Kraghammer and Vasselheim
23.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"Like so many half-elves, Vex'ahlia has spent most of her life suffering the cool reception of a people who don't fully accept her. →",A1,Arc 1: Kraghammer and Vasselheim
24.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"Born of a human mother, and an elven father who only later in life took an interest in their existence, Vex'ahlia and her twin brother, Vax'ildan, quickly realized the only people they could truly rely on in this world were each other. →",A1,Arc 1: Kraghammer and Vasselheim
25.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"It was at the age of ten when the two were taken from their mother, and brought to live in Syngorn, the isolated elven city for which their father was an ambassador. He quietly took them in, but always kept an icy distance, and after too many years of disdainful looks, the pair decided to leave his indifference behind, and set out on their own. Vax took to the cities, stealing small trinkets and learning the ways of the thief, while Vex kept to the woods. She preferred the isolation. Always the keen observer, she learned to hunt and to track, to spy and to shoot. Through a series of fateful events, earned herself a companion in the form of a bear-- her own stolen Trinket-- to fight alongside her and protect her fiercely. Also, he is adorable, and gives expert massages. Like so many half-elves-- →",A1,Arc 1: Kraghammer and Vasselheim
26.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Hey guys, welcome back. To give you a little heads up, we are playing the 5th edition of Dungeons & Dragons. We recently converted over from Pathfinder, for those who play Pathfinder. →",A1,Arc 1: Kraghammer and Vasselheim
27.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"One of our players was a gunslinger, for which there are no rules for in 5th edition. So I had to create and customize those for the game, so bear with us on that. That will be an interesting ride, regardless. We do have an eight-player game we've been playing for two years, which is a little crazy, which is why we go a little loose with the rules. It's a great group, it's a lot of fun. Not everyone can make every game, so we have enough players to definitely pull a party each time. →",A1,Arc 1: Kraghammer and Vasselheim
28.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ZAC,"Just so you know, we're having an audio bottleneck. It'll take about 30 seconds to work itself out. →",A1,Arc 1: Kraghammer and Vasselheim
29.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Okay, audio bottleneck. →",A1,Arc 1: Kraghammer and Vasselheim
30.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ZAC,Tech problems that make me want to murder someone. →,A1,Arc 1: Kraghammer and Vasselheim
31.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,That's okay. Just a second. You let us know when it's okay to talk. →,A1,Arc 1: Kraghammer and Vasselheim
32.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,"I don't know what that means, a bottleneck. →",A1,Arc 1: Kraghammer and Vasselheim
33.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Are we all right? And how are we? Exterminate. Exterminate. →,A1,Arc 1: Kraghammer and Vasselheim
34.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,"Nice. Audio isn't working they're going to watch something else. Thanks, douche. →",A1,Arc 1: Kraghammer and Vasselheim
35.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,(laughter) →,A1,Arc 1: Kraghammer and Vasselheim
36.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Is the mic adjusted? Is it any better? →,A1,Arc 1: Kraghammer and Vasselheim
37.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ZAC,Better now. We're good. →,A1,Arc 1: Kraghammer and Vasselheim
38.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Well, great. Thank you guys. A couple of things transitioned from Pathfinder to 5th edition may be a little strange and fun. We have a lot of players, but they're great folks and most of that just means I have to work really hard to make sure the game keeps going, so that's on me. Ashley Johnson, unfortunately, cannot join us. She's our gnome cleric, Pike. She'll be here next week. →",A1,Arc 1: Kraghammer and Vasselheim
39.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Unfortunately, she's in London accepting a BAFTA, so I think we're okay. For the Last of Us. That's harsh. Also no donations this week, but going forward we will have donations available for those that will help partially run the show from our wonderful cameraman and crew. Also, half of our donations will go to the 826 charity. Marisha, if you want to talk a little about that. →",A1,Arc 1: Kraghammer and Vasselheim
40.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,"Yes! 826LA is a charity that focuses on tutoring children in an after-school program and helping specifically with creativity, storytelling, art and general things that relate to Dungeons & Dragons. You should definitely check out the Time Travel Mart. There is one in Echo Park and one in Mar Vista. They have this amazing storefront where you can buy these awesome tchotchkes and things that go immediately to support the charity and the stream. It's awesome. →",A1,Arc 1: Kraghammer and Vasselheim
